# curie_map:
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   ZFA: http://purl.obolibrary.org/obo/ZFA_
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/16742bea-f654-4d5a-8433-46c7c4bc047e
subject_id	subject_label	predicate_id	object_id	mapping_justification	subject_source	object_source
UBERON:0000007	pituitary gland	oio:hasDbXref	ZFA:0000118	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0000203	pallium	oio:hasDbXref	ZFA:0000505	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0000204	ventral part of telencephalon	oio:hasDbXref	ZFA:0000304	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0000430	ventral intermediate nucleus of thalamus	oio:hasDbXref	ZFA:0000370	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0000935	anterior commissure	oio:hasDbXref	ZFA:0001108	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0000936	posterior commissure	oio:hasDbXref	ZFA:0000320	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0000955	brain	oio:hasDbXref	ZFA:0000008	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0000959	optic chiasma	oio:hasDbXref	ZFA:0000556	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0001672	anterior cerebral vein	oio:hasDbXref	ZFA:0001067	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0001699	sensory root of facial nerve	oio:hasDbXref	ZFA:0000679	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0001715	oculomotor nuclear complex	oio:hasDbXref	ZFA:0000553	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0001718	mesencephalic nucleus of trigeminal nerve	oio:hasDbXref	ZFA:0000312	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0001720	cochlear nucleus	oio:hasDbXref	ZFA:0001638	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0001886	choroid plexus	oio:hasDbXref	ZFA:0001443	semapv:UnspecifiedMatching	UBERON	ZFA
UBERON:0001890	forebrain	oio:hasDbXref	ZFA:0000109	semapv:UnspecifiedMatching	UBERON	ZFA
