classIds	classIds_label	unionEquivalentTo	unionEquivalentToExpression	classExpressionPropertyIds	classExpressionFillerIds
BFO:0000002|BFO:0000003	continuant|occurrent	None	None		
BFO:0000004|BFO:0000031	independent continuant|generically dependent continuant	None	None		
BFO:0000004|BFO:0000020	independent continuant|specifically dependent continuant	None	None		
BFO:0000016|BFO:0000023	disposition|role	None	None		
BFO:0000017|BFO:0000019	realizable entity|quality	None	None		
BFO:0000020|BFO:0000031	specifically dependent continuant|generically dependent continuant	None	None		
BFO:0000040|BFO:0000141	material entity|immaterial entity	None	None		
CARO:0000006|CARO:0000007	material anatomical entity|immaterial anatomical entity	None	None		
CARO:0000013|CARO:0010000	cell|multicellular anatomical structure	None	None		
CARO:0000013|CARO:0001000	cell|multi-cell-part structure	None	None		
CARO:0000013|CARO:0000042	cell|extraembryonic structure	None	None		
CARO:0000013|CARO:0000040	cell|acellular anatomical structure	None	None		
CARO:0000013|CARO:0000014	cell|cell part	None	None		
CARO:0000014|CARO:0010000	cell part|multicellular anatomical structure	None	None		
CARO:0000014|CARO:0001000	cell part|multi-cell-part structure	None	None		
CARO:0000014|CARO:0000042	cell part|extraembryonic structure	None	None		
CARO:0000014|CARO:0000040	cell part|acellular anatomical structure	None	None		
CARO:0000040|CARO:0010000	acellular anatomical structure|multicellular anatomical structure	None	None		
CARO:0000040|CARO:0001000	acellular anatomical structure|multi-cell-part structure	None	None		
CARO:0000040|CARO:0000042	acellular anatomical structure|extraembryonic structure	None	None		
CARO:0000042|CARO:0010000	extraembryonic structure|multicellular anatomical structure	None	None		
CARO:0000042|CARO:0001000	extraembryonic structure|multi-cell-part structure	None	None		
CARO:0001000|CARO:0010000	multi-cell-part structure|multicellular anatomical structure	None	None		
CL:0000000|GO:0043226	cell|organelle	None	None		
CL:0000000|GO:0032991	cell|protein-containing complex	None	None		
CL:0000000|GO:0031012	cell|extracellular matrix	None	None		
CL:0000039|CL:0002371	germ line cell|somatic cell	None	None		
CL:0000049|CL:0000557	common myeloid progenitor|granulocyte monocyte progenitor cell	None	None		
CL:0000049|CL:0000051	common myeloid progenitor|common lymphoid progenitor	None	None		
CL:0000049|CL:0000050	common myeloid progenitor|megakaryocyte-erythroid progenitor cell	None	None		
CL:0000050|CL:0002009	megakaryocyte-erythroid progenitor cell|macrophage dendritic cell progenitor	None	None		
CL:0000050|CL:0000557	megakaryocyte-erythroid progenitor cell|granulocyte monocyte progenitor cell	None	None		
CL:0000066|CL:0000738	epithelial cell|leukocyte	None	None		
CL:0000084|CL:0000945	T cell|lymphocyte of B lineage	None	None		
CL:0000225|CL:0002242	anucleate cell|nucleate cell	None	None		
CL:0000255|CL:0000520	eukaryotic cell|prokaryotic cell	None	None		
CL:0000451|CL:0000542	dendritic cell|lymphocyte	None	None		
CL:0000521|CL:0000548	fungal cell|animal cell	None	None		
CL:0000542|CL:0000766	lymphocyte|myeloid leukocyte	None	None		
CL:0000556|CL:0000764	megakaryocyte|erythroid lineage cell	None	None		
CL:0000624|CL:0000625	CD4-positive, alpha-beta T cell|CD8-positive, alpha-beta T cell	None	None		
CL:0000737|CL:0008000	striated muscle cell|non-striated muscle cell	None	None		
CL:0000785|CL:0000818	mature B cell|transitional stage B cell	None	None		
CL:0000785|CL:0000817	mature B cell|precursor B cell	None	None		
CL:0000785|CL:0000816	mature B cell|immature B cell	None	None		
CL:0000789|CL:0000798	alpha-beta T cell|gamma-delta T cell	None	None		
CL:0000813|CL:0000898	memory T cell|naive T cell	None	None		
CL:0000817|CL:0000826	precursor B cell|pro-B cell	None	None		
CL:0000823|CL:0000937	immature natural killer cell|pre-natural killer cell	None	None		
CL:0000823|CL:0000824	immature natural killer cell|mature natural killer cell	None	None		
CL:0000837|CL:0002032	hematopoietic multipotent progenitor cell|hematopoietic oligopotent progenitor cell	None	None		
CL:0000838|CL:0000839	lymphoid lineage restricted progenitor cell|myeloid lineage restricted progenitor cell	None	None		
CL:0000851|CL:0000855	neuromast mantle cell|sensory hair cell	None	None		
CL:0000852|CL:0000855	neuromast supporting cell|sensory hair cell	None	None		
CL:0000955|CL:0000956	pre-B-II cell|pre-B-I cell	None	None		
CL:0001008|CL:0001024	Kit and Sca1-positive hematopoietic stem cell|CD34-positive, CD38-negative hematopoietic stem cell	None	None		
CL:0001021|CL:0001025	CD34-positive, CD38-positive common lymphoid progenitor|Kit-positive, Sca1-positive common lymphoid progenitor	None	None		
CL:0001023|CL:0001026	Kit-positive, CD34-positive common myeloid progenitor|CD34-positive, CD38-positive common myeloid progenitor	None	None		
CL:0002031|CL:0002032	hematopoietic lineage restricted progenitor cell|hematopoietic oligopotent progenitor cell	None	None		
CL:0002036|CL:0002043	Slamf1-positive multipotent progenitor cell|CD34-positive, CD38-negative multipotent progenitor cell	None	None		
CL:0008011|CL:0008020	skeletal muscle satellite stem cell|skeletal muscle satellite myogenic cell	None	None		
CL:0008046|CL:0008047	extrafusal muscle fiber|intrafusal muscle fiber	None	None		
GO:0003674|GO:0008150	molecular_function|biological_process	None	None		
GO:0003674|GO:0005575	molecular_function|cellular_component	None	None		
GO:0005575|GO:0008150	cellular_component|biological_process	None	None		
GO:0005583|GO:0030936	fibrillar collagen trimer|transmembrane collagen trimer	None	None		
GO:0005634|GO:0005737	nucleus|cytoplasm	None	None		
GO:0007610|GO:0032502	behavior|developmental process	None	None		
GO:0008152|GO:0051179	metabolic process|localization	None	None		
GO:0009653|GO:0071695	anatomical structure morphogenesis|anatomical structure maturation	None	None		
GO:0009653|GO:0048856	anatomical structure morphogenesis|anatomical structure development	None	None		
GO:0016020|GO:0031012	membrane|extracellular matrix	None	None		
GO:0019725|GO:0048872	cellular homeostasis|homeostasis of number of cells	None	None		
GO:0022411|GO:0022607	cellular component disassembly|cellular component assembly	None	None		
GO:0031012|GO:0043226	extracellular matrix|organelle	None	None		
GO:0031012|GO:0032991	extracellular matrix|protein-containing complex	None	None		
GO:0031974|GO:0045202	membrane-enclosed lumen|synapse	None	None		
GO:0032504|GO:0032505	multicellular organism reproduction|reproduction of a single-celled organism	None	None		
GO:0032991|GO:0110165	protein-containing complex|cellular anatomical entity	None	None		
GO:0043227|GO:0043228	membrane-bounded organelle|non-membrane-bounded organelle	None	None		
GO:0043229|GO:0043230	intracellular organelle|extracellular organelle	None	None		
GO:1903046|GO:1903047	meiotic cell cycle process|mitotic cell cycle process	None	None		
PATO:0000608|PATO:0000610	closed|open	None	None		
PATO:0070016|PATO:0070017	horizontal pyramidal morphology|standard pyramidal morphology	None	None		
UBERON:0000000|UBERON:0001062	processual entity|anatomical entity	None	None		
UBERON:0000045|UBERON:0002420	ganglion|basal ganglion	None	None		
UBERON:0000053|UBERON:0000054	macula lutea|macula	None	None		
UBERON:0000062|UBERON:0034921	organ|multi organ part structure	None	None		
UBERON:0000062|UBERON:0002095	organ|mesentery	None	None		
UBERON:0000068|UBERON:0000092	embryo stage|post-embryonic stage	None	None		
UBERON:0000079|UBERON:0000474	male reproductive system|female reproductive system	None	None		
UBERON:0000153|UBERON:0000154	anterior region of body|posterior region of body	None	None		
UBERON:0000353|UBERON:0003891	parenchyma|stroma	None	None		
