# curie_map:
#   AAO: http://purl.obolibrary.org/obo/AAO_
#   AEO: http://purl.obolibrary.org/obo/AEO_
#   BAMS: http://w3id.org/sssom/unknown_prefix/bams/
#   BIRNLEX: http://w3id.org/sssom/unknown_prefix/birnlex/
#   BM: http://w3id.org/sssom/unknown_prefix/bm/
#   BTO: http://purl.obolibrary.org/obo/BTO_
#   CALOHA: http://w3id.org/sssom/unknown_prefix/caloha/
#   CARO: http://purl.obolibrary.org/obo/CARO_
#   CL: http://purl.obolibrary.org/obo/CL_
#   DHBA: https://biopragmatics.github.io/providers/dhba/
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   EHDAA: http://purl.obolibrary.org/obo/EHDAA_
#   EHDAA2: http://purl.obolibrary.org/obo/EHDAA2_
#   EMAPA: http://purl.obolibrary.org/obo/EMAPA_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   EV: http://purl.obolibrary.org/obo/EV_
#   FAO: http://purl.obolibrary.org/obo/FAO_
#   FBbt: http://purl.obolibrary.org/obo/FBbt_
#   FMA: http://purl.obolibrary.org/obo/FMA_
#   GAID: http://w3id.org/sssom/unknown_prefix/gaid/
#   GC_ID: http://w3id.org/sssom/unknown_prefix/gc_id/
#   GO: http://purl.obolibrary.org/obo/GO_
#   GOC: http://w3id.org/sssom/unknown_prefix/goc/
#   HAO: http://purl.obolibrary.org/obo/HAO_
#   HBA: https://biopragmatics.github.io/providers/hba/
#   HsapDv: http://purl.obolibrary.org/obo/HsapDv_
#   ILX: http://w3id.org/sssom/unknown_prefix/ilx/
#   MA: http://purl.obolibrary.org/obo/MA_
#   MAT: http://purl.obolibrary.org/obo/MAT_
#   MBA: https://biopragmatics.github.io/providers/mba/
#   MESH: http://id.nlm.nih.gov/mesh/
#   MIAA: http://w3id.org/sssom/unknown_prefix/miaa/
#   MmusDv: http://purl.obolibrary.org/obo/MmusDv_
#   NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   OGES: http://w3id.org/sssom/unknown_prefix/oges/
#   PBA: https://biopragmatics.github.io/providers/pba/
#   PMID: http://rdf.ncbi.nlm.nih.gov/pubchem/reference/
#   PR: http://purl.obolibrary.org/obo/PR_
#   RETIRED_EHDAA2: http://w3id.org/sssom/unknown_prefix/retired_ehdaa2/
#   RO: http://purl.obolibrary.org/obo/RO_
#   Reactome: http://w3id.org/sssom/unknown_prefix/reactome/
#   SCTID: http://snomed.info/id/
#   SPD: http://purl.obolibrary.org/obo/SPD_
#   TAO: http://purl.obolibrary.org/obo/TAO_
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   VHOG: http://purl.obolibrary.org/obo/VHOG_
#   WBbt: http://purl.obolibrary.org/obo/WBbt_
#   WBls: http://purl.obolibrary.org/obo/WBls_
#   Wikipedia: http://w3id.org/sssom/unknown_prefix/wikipedia/
#   XAO: http://purl.obolibrary.org/obo/XAO_
#   ZFA: http://purl.obolibrary.org/obo/ZFA_
#   ZFS: http://purl.obolibrary.org/obo/ZFS_
#   galen: http://www.co-ode.org/ontologies/galen#
#   http: http://w3id.org/sssom/unknown_prefix/http/
#   https: http://w3id.org/sssom/unknown_prefix/https/
#   neuronames: http://braininfo.rprc.washington.edu/centraldirectory.aspx?ID=
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: temp
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	mapping_cardinality	comment
CARO:0000013	cell	oio:hasDbXref	GO:0005623	obsolete cell	semapv:UnspecifiedMatching	CARO	GO	1:1	object is obsolete
CL:0000000	cell	oio:hasDbXref	GO:0005623	obsolete cell	semapv:UnspecifiedMatching	CL	GO	1:1	object is obsolete
CL:0000019	sperm	oio:hasDbXref	BTO:0001277	spermatozoon	semapv:UnspecifiedMatching	CL	BTO	n:n	cardinality is n:n
CL:0000019	sperm	oio:hasDbXref	BTO:0002046	spermatozoid	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000019	sperm	oio:hasDbXref	CALOHA:TS-0949		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000020	spermatogonium	oio:hasDbXref	FBbt:00004934	primary gonial cell	semapv:UnspecifiedMatching	CL	FBbt	n:1	cardinality is n:1
CL:0000020	spermatogonium	oio:hasDbXref	FBbt:00004935	spermatogonium	semapv:UnspecifiedMatching	CL	FBbt	n:1	cardinality is n:1
CL:0000021	female germ cell	oio:hasDbXref	MA:0000388	female germ cell	semapv:UnspecifiedMatching	CL	MA	1:n	cardinality is 1:n
CL:0000025	egg cell	oio:hasDbXref	BTO:0000369	egg	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000025	egg cell	oio:hasDbXref	BTO:0003801	ovum	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000025	egg cell	oio:hasDbXref	MA:0000388	female germ cell	semapv:UnspecifiedMatching	CL	MA	1:n	cardinality is 1:n
CL:0000026	invertebrate nurse cell	oio:hasDbXref	BTO:0000953	nurse cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000034	stem cell	oio:hasDbXref	CALOHA:TS-2086		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000034	stem cell	oio:hasDbXref	FMA:63368	Stem cell	semapv:UnspecifiedMatching	CL	FMA	1:n	cardinality is 1:n
CL:0000037	hematopoietic stem cell	oio:hasDbXref	BTO:0000725	hematopoietic stem cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000037	hematopoietic stem cell	oio:hasDbXref	CALOHA:TS-0448		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000037	hematopoietic stem cell	oio:hasDbXref	FMA:70337	Hemal stem cell	semapv:UnspecifiedMatching	CL	FMA	n:1	cardinality is n:1
CL:0000037	hematopoietic stem cell	oio:hasDbXref	FMA:86475	Hemopoietic stem cell	semapv:UnspecifiedMatching	CL	FMA	n:n	cardinality is n:n
CL:0000038	erythroid progenitor cell	oio:hasDbXref	BTO:0004911	erythroid progenitor cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000043	mature basophil	oio:hasDbXref	BTO:0001026	polymorphonuclear leukocyte	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000043	mature basophil	oio:hasDbXref	CALOHA:TS-0688		semapv:UnspecifiedMatching	CL	CALOHA	1:n	cardinality is 1:n
CL:0000049	common myeloid progenitor	oio:hasDbXref	BTO:0004730	myeloid progenitor cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000066	epithelial cell	oio:hasDbXref	CARO:0000077	epithelial cell	semapv:UnspecifiedMatching	CL	CARO	1:1	object is obsolete
CL:0000083	epithelial cell of pancreas	oio:hasDbXref	BTO:0000028	pancreatic acinar cell	semapv:UnspecifiedMatching	CL	BTO	1:n	cardinality is 1:n
CL:0000094	granulocyte	oio:hasDbXref	BTO:0000539	granulocyte	semapv:UnspecifiedMatching	CL	BTO	n:1	cardinality is n:1
CL:0000094	granulocyte	oio:hasDbXref	BTO:0001026	polymorphonuclear leukocyte	semapv:UnspecifiedMatching	CL	BTO	n:n	cardinality is n:n
