class_id	p_value	class_label	rank	p_value_adjusted	false_discovery_rate	fold_enrichment	probability	sample_count	sample_total	background_count	background_total	ancestor_of_more_informative_result	descendant_of_more_informative_result
HP:0000974	2.121426176245904e-37	Hyperextensible skin	1	2.895746730575659e-34	None	None	None	19	19	68	5011	None	None
HP:0001075	1.2456658452888536e-36	Atrophic scars	2	1.7003338788192853e-33	None	None	None	17	19	37	5011	None	None
HP:0000978	3.578556724678709e-24	Bruising susceptibility	8	4.884729929186438e-21	None	None	None	17	19	163	5011	None	None
HP:0000592	5.359589209309892e-23	Blue sclerae	9	7.315839270708003e-20	None	None	None	15	19	102	5011	None	None
HP:0001030	5.9703548537852566e-18	Fragile skin	14	8.149534375416875e-15	None	None	None	10	19	35	5011	None	None
HP:0001058	1.3019237895081092e-16	Poor wound healing	15	1.7771259726785691e-13	None	None	None	10	19	46	5011	None	None
HP:0001382	1.399390389275918e-16	Joint hypermobility	16	1.9101678813616282e-13	None	None	None	16	19	344	5011	None	None
HP:0001373	6.397040275992258e-16	Joint dislocation	17	8.731959976729432e-13	None	None	None	16	19	378	5011	None	None
HP:0001634	8.93312428895792e-16	Mitral valve prolapse	18	1.2193714654427561e-12	None	None	None	12	19	120	5011	None	None
HP:0001388	1.5583258774109404e-14	Joint laxity	21	2.1271148226659335e-11	None	None	None	14	19	276	5011	None	None
HP:0025019	3.449771738946993e-14	Arterial rupture	23	4.7089384236626455e-11	None	None	None	6	19	8	5011	None	None
HP:0001238	9.207932027040726e-13	Slender finger	27	1.2568827216910591e-09	None	None	None	11	19	153	5011	None	None
HP:0100807	1.6988649636147544e-12	Long fingers	29	2.31895067533414e-09	None	None	None	13	19	297	5011	None	None
HP:0000023	1.9343838998161186e-12	Inguinal hernia	30	2.640434023249002e-09	None	None	None	13	19	300	5011	None	None
HP:0002650	1.508217690298231e-11	Scoliosis	36	2.0587171472570854e-08	None	None	None	18	19	1086	5011	None	None
HP:0001763	3.504521162438635e-10	Pes planus	44	4.783671386728737e-07	None	None	None	12	19	349	5011	None	None
HP:0032153	6.965058445449732e-10	Joint subluxation	49	9.507304778038885e-07	None	None	None	6	19	30	5011	None	None
HP:0001788	1.8839157623091363e-09	Premature rupture of membranes	53	2.571545015551971e-06	None	None	None	5	19	16	5011	None	None
HP:0000015	2.2543319319875075e-09	Bladder diverticulum	55	3.077163087162948e-06	None	None	None	6	19	36	5011	None	None
HP:0000539	3.2007722038308026e-09	Abnormality of refraction	58	4.3690540582290456e-06	None	None	None	14	19	671	5011	None	None
HP:0001519	4.402868541877765e-09	Disproportionate tall stature	62	6.009915559663149e-06	None	None	None	6	19	40	5011	None	None
HP:0001762	1.245664269425806e-08	Talipes equinovarus	65	1.7003317277662252e-05	None	None	None	11	19	367	5011	None	None
HP:0005294	1.8389795084351543e-08	Arterial dissection	67	2.5102070290139856e-05	None	None	None	4	19	9	5011	None	None
HP:0031653	1.9018296708575906e-08	Abnormal heart valve physiology	68	2.5959975007206113e-05	None	None	None	11	19	382	5011	None	None
HP:0010648	2.243801892540243e-08	Dermal translucency	69	3.0627895833174314e-05	None	None	None	5	19	25	5011	None	None
HP:0000164	3.0984385772580804e-08	Abnormality of the dentition	70	4.22936865795728e-05	None	None	None	15	19	967	5011	None	None
HP:0004349	7.226006393405438e-08	Reduced bone mineral density	76	9.863498726998422e-05	None	None	None	12	19	554	5011	None	None
HP:0002616	1.288490554494917e-07	Aortic root aneurysm	79	0.00017587896068855616	None	None	None	6	19	69	5011	None	None
HP:0030009	1.8449303189429404e-07	Cervical insufficiency	83	0.00025183298853571136	None	None	None	3	19	4	5011	None	None
HP:0001270	3.5136264917564834e-07	Motor delay	92	0.00047961001612476	None	None	None	14	19	957	5011	None	None
HP:0010749	9.180496998866488e-07	Blepharochalasis	97	0.0012531378403452757	None	None	None	3	19	6	5011	None	None
HP:0000481	9.317825562989596e-07	Abnormal cornea morphology	98	0.0012718831893480799	None	None	None	12	19	696	5011	None	None
HP:0030816	1.6027373329060367e-06	Gingival recession	105	0.00218773645941674	None	None	None	3	19	7	5011	None	None
HP:0000766	1.634894056818764e-06	Abnormal sternum morphology	108	0.002231630387557613	None	None	None	10	19	459	5011	None	None
HP:0000174	2.6714565016269173e-06	Abnormal palate morphology	114	0.003646538124720742	None	None	None	14	19	1120	5011	None	None
HP:0000347	5.621344022970782e-06	Micrognathia	125	0.007673134591355117	None	None	None	12	19	820	5011	None	None
HP:0002107	6.064953715796311e-06	Pneumothorax	129	0.008278661822061965	None	None	None	5	19	74	5011	None	None
