subject	subject_label	predicate	object	object_label	property_values	predicate_label	negated	publications	primary_knowledge_source	aggregator_knowledge_source	subject_closure	subject_closure_label	object_closure	object_closure_label
NCBIGene:165	None	None	HP:0001166	None		None	None		None	None				
NCBIGene:165	None	None	HP:0009938	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001270	None		None	None		None	None				
NCBIGene:165	None	None	HP:0025232	None		None	None		None	None				
NCBIGene:165	None	None	HP:0025232	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001252	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001263	None		None	None		None	None				
NCBIGene:165	None	None	HP:0034943	None		None	None		None	None				
NCBIGene:165	None	None	HP:0003834	None		None	None		None	None				
NCBIGene:165	None	None	HP:0003834	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001373	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001382	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001382	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000023	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000023	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000028	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000028	None		None	None		None	None				
NCBIGene:165	None	None	HP:0031158	None		None	None		None	None				
NCBIGene:165	None	None	HP:0007495	None		None	None		None	None				
NCBIGene:165	None	None	HP:0007457	None		None	None		None	None				
NCBIGene:165	None	None	HP:0003994	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000007	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002619	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002616	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002616	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000189	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001488	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001488	None		None	None		None	None				
NCBIGene:165	None	None	HP:0006243	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002761	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002758	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002751	None		None	None		None	None				
NCBIGene:165	None	None	HP:0100546	None		None	None		None	None				
NCBIGene:165	None	None	HP:0100546	None		None	None		None	None				
NCBIGene:165	None	None	HP:0008138	None		None	None		None	None				
NCBIGene:165	None	None	HP:0004602	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002155	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002162	None		None	None		None	None				
NCBIGene:165	None	None	HP:0003593	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001058	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001015	None		None	None		None	None				
NCBIGene:165	None	None	HP:0004976	None		None	None		None	None				
NCBIGene:165	None	None	HP:0004976	None		None	None		None	None				
NCBIGene:165	None	None	HP:0100658	None		None	None		None	None				
NCBIGene:165	None	None	HP:0100658	None		None	None		None	None				
NCBIGene:165	None	None	HP:0010829	None		None	None		None	None				
NCBIGene:165	None	None	HP:0010810	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001097	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001075	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000692	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001999	None		None	None		None	None				
NCBIGene:165	None	None	HP:0003042	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000767	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000704	None		None	None		None	None				
NCBIGene:165	None	None	HP:0011463	None		None	None		None	None				
NCBIGene:165	None	None	HP:0003177	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000819	None		None	None		None	None				
NCBIGene:165	None	None	HP:0030871	None		None	None		None	None				
NCBIGene:165	None	None	HP:0045074	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000978	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000978	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000987	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000960	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000939	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000938	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000938	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001596	None		None	None		None	None				
NCBIGene:165	None	None	HP:0006439	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002827	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002827	None		None	None		None	None				
NCBIGene:165	None	None	HP:0002808	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001582	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001582	None		None	None		None	None				
