# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   GARD: http://w3id.org/sssom/unknown_prefix/gard/
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   OMIM: http://w3id.org/sssom/unknown_prefix/omim/
#   ORDO: http://w3id.org/sssom/unknown_prefix/ordo/
#   obo: http://w3id.org/sssom/unknown_prefix/obo/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/09645c4b-3c6c-4358-9bea-250f81877a6b
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source	other
DOID:0080476	peroxisome biogenesis disorder 1A	oio:hasDbXref	OMIM:214100	peroxisome biogenesis disorder 1a (zellweger)	semapv:UnspecifiedMatching	obo:DOID	distance: 6, direction: -1
DOID:0080476	peroxisome biogenesis disorder 1A	oio:hasDbXref	OMIM:214100	peroxisome biogenesis disorder 1a (zellweger)	semapv:UnspecifiedMatching	obo:DOID	distance: 7, direction: 1
DOID:0080476	peroxisome biogenesis disorder 1A	rdfs:subClassOf	DOID:905	Zellweger syndrome	semapv:ManualMappingCuration	obo:DOID	
DOID:0080477	peroxisome biogenesis disorder 2A	oio:hasDbXref	OMIM:214110	peroxisome biogenesis disorder 2a (zellweger)	semapv:UnspecifiedMatching	obo:DOID	distance: 6, direction: -1
DOID:0080477	peroxisome biogenesis disorder 2A	oio:hasDbXref	OMIM:214110	peroxisome biogenesis disorder 2a (zellweger)	semapv:UnspecifiedMatching	obo:DOID	distance: 7, direction: 1
DOID:0080477	peroxisome biogenesis disorder 2A	rdfs:subClassOf	DOID:905	Zellweger syndrome	semapv:ManualMappingCuration	obo:DOID	
DOID:0080478	peroxisome biogenesis disorder 3A	oio:hasDbXref	OMIM:614859	peroxisome biogenesis disorder 3a (zellweger)	semapv:UnspecifiedMatching	obo:DOID	distance: 6, direction: -1
DOID:0080478	peroxisome biogenesis disorder 3A	oio:hasDbXref	OMIM:614859	peroxisome biogenesis disorder 3a (zellweger)	semapv:UnspecifiedMatching	obo:DOID	distance: 7, direction: 1
DOID:0080478	peroxisome biogenesis disorder 3A	rdfs:subClassOf	DOID:905	Zellweger syndrome	semapv:ManualMappingCuration	obo:DOID	
DOID:0080479	peroxisome biogenesis disorder 4A	oio:hasDbXref	OMIM:614862	peroxisome biogenesis disorder 4a (zellweger)	semapv:UnspecifiedMatching	obo:DOID	distance: 6, direction: -1
DOID:0080479	peroxisome biogenesis disorder 4A	oio:hasDbXref	OMIM:614862	peroxisome biogenesis disorder 4a (zellweger)	semapv:UnspecifiedMatching	obo:DOID	distance: 7, direction: 1
DOID:0080479	peroxisome biogenesis disorder 4A	rdfs:subClassOf	DOID:905	Zellweger syndrome	semapv:ManualMappingCuration	obo:DOID	
DOID:0080480	peroxisome biogenesis disorder 5A	oio:hasDbXref	OMIM:614866	peroxisome biogenesis disorder 5a (zellweger)	semapv:UnspecifiedMatching	obo:DOID	distance: 6, direction: -1
DOID:0080480	peroxisome biogenesis disorder 5A	oio:hasDbXref	OMIM:614866	peroxisome biogenesis disorder 5a (zellweger)	semapv:UnspecifiedMatching	obo:DOID	distance: 7, direction: 1
DOID:0080480	peroxisome biogenesis disorder 5A	rdfs:subClassOf	DOID:905	Zellweger syndrome	semapv:ManualMappingCuration	obo:DOID	
