subject	predicate	object	subject_label	predicate_label	object_label
CL:0000127	BFO:0000050	BFO:0000002	astrocyte	part of	continuant
CL:0000127	BFO:0000050	BFO:0000004	astrocyte	part of	independent continuant
CL:0000127	BFO:0000050	BFO:0000040	astrocyte	part of	material entity
CL:0000127	BFO:0000050	CARO:0000000	astrocyte	part of	anatomical entity
CL:0000127	BFO:0000050	CARO:0000006	astrocyte	part of	material anatomical entity
CL:0000127	BFO:0000050	CARO:0030000	astrocyte	part of	biological entity
CL:0000127	BFO:0000050	UBERON:0000061	astrocyte	part of	anatomical structure
CL:0000127	BFO:0000050	UBERON:0000465	astrocyte	part of	material anatomical entity
CL:0000127	BFO:0000050	UBERON:0000467	astrocyte	part of	anatomical system
CL:0000127	BFO:0000050	UBERON:0000468	astrocyte	part of	multicellular organism
CL:0000127	BFO:0000050	UBERON:0001016	astrocyte	part of	nervous system
CL:0000127	BFO:0000050	UBERON:0001062	astrocyte	part of	anatomical entity
CL:0000127	BFO:0000050	UBERON:0010000	astrocyte	part of	multicellular anatomical structure
CL:0000127	RO:0002131	BFO:0000002	astrocyte	overlaps	continuant
CL:0000127	RO:0002131	BFO:0000004	astrocyte	overlaps	independent continuant
CL:0000127	RO:0002131	BFO:0000040	astrocyte	overlaps	material entity
CL:0000127	RO:0002131	CARO:0000000	astrocyte	overlaps	anatomical entity
CL:0000127	RO:0002131	CARO:0000006	astrocyte	overlaps	material anatomical entity
CL:0000127	RO:0002131	CARO:0030000	astrocyte	overlaps	biological entity
CL:0000127	RO:0002131	UBERON:0000061	astrocyte	overlaps	anatomical structure
CL:0000127	RO:0002131	UBERON:0000465	astrocyte	overlaps	material anatomical entity
CL:0000127	RO:0002131	UBERON:0000467	astrocyte	overlaps	anatomical system
CL:0000127	RO:0002131	UBERON:0000468	astrocyte	overlaps	multicellular organism
CL:0000127	RO:0002131	UBERON:0001016	astrocyte	overlaps	nervous system
CL:0000127	RO:0002131	UBERON:0001062	astrocyte	overlaps	anatomical entity
CL:0000127	RO:0002131	UBERON:0010000	astrocyte	overlaps	multicellular anatomical structure
CL:0000127	RO:0002160	NCBITaxon:1	astrocyte	only in taxon	root
CL:0000127	RO:0002160	NCBITaxon:131567	astrocyte	only in taxon	cellular organisms
CL:0000127	RO:0002160	NCBITaxon:2759	astrocyte	only in taxon	Eukaryota
CL:0000127	RO:0002160	NCBITaxon:33154	astrocyte	only in taxon	Opisthokonta
CL:0000127	RO:0002160	NCBITaxon:33208	astrocyte	only in taxon	Metazoa
CL:0000127	RO:0002162	NCBITaxon:1	astrocyte	in taxon	root
CL:0000127	RO:0002162	NCBITaxon:131567	astrocyte	in taxon	cellular organisms
CL:0000127	RO:0002162	NCBITaxon:2759	astrocyte	in taxon	Eukaryota
CL:0000127	RO:0002162	NCBITaxon:33154	astrocyte	in taxon	Opisthokonta
CL:0000127	RO:0002162	NCBITaxon:33208	astrocyte	in taxon	Metazoa
CL:0000127	RO:0002162	NCBITaxon:33213	astrocyte	in taxon	Bilateria
CL:0000127	RO:0002162	NCBITaxon:33511	astrocyte	in taxon	Deuterostomia
CL:0000127	RO:0002162	NCBITaxon:6072	astrocyte	in taxon	Eumetazoa
CL:0000127	RO:0002162	NCBITaxon:7711	astrocyte	in taxon	Chordata
CL:0000127	RO:0002162	NCBITaxon:7742	astrocyte	in taxon	Vertebrata <vertebrates>
CL:0000127	RO:0002162	NCBITaxon:89593	astrocyte	in taxon	Craniata <chordates>
CL:0000127	RO:0002202	BFO:0000002	astrocyte	develops from	continuant
CL:0000127	RO:0002202	BFO:0000004	astrocyte	develops from	independent continuant
CL:0000127	RO:0002202	BFO:0000040	astrocyte	develops from	material entity
CL:0000127	RO:0002202	CARO:0000000	astrocyte	develops from	anatomical entity
CL:0000127	RO:0002202	CARO:0030000	astrocyte	develops from	biological entity
CL:0000127	RO:0002202	CL:0000000	astrocyte	develops from	cell
CL:0000127	RO:0002202	CL:0000003	astrocyte	develops from	native cell
CL:0000127	RO:0002202	CL:0000030	astrocyte	develops from	glioblast
CL:0000127	RO:0002202	CL:0000034	astrocyte	develops from	stem cell
CL:0000127	RO:0002202	CL:0000048	astrocyte	develops from	multi fate stem cell
CL:0000127	RO:0002202	CL:0000055	astrocyte	develops from	non-terminally differentiated cell
CL:0000127	RO:0002202	CL:0000095	astrocyte	develops from	neuron associated cell
CL:0000127	RO:0002202	CL:0000123	astrocyte	develops from	neuron associated cell (sensu Vertebrata)
CL:0000127	RO:0002202	CL:0000133	astrocyte	develops from	neurectodermal cell
CL:0000127	RO:0002202	CL:0000219	astrocyte	develops from	motile cell
CL:0000127	RO:0002202	CL:0000221	astrocyte	develops from	ectodermal cell
CL:0000127	RO:0002202	CL:0000255	astrocyte	develops from	eukaryotic cell
CL:0000127	RO:0002202	CL:0000333	astrocyte	develops from	migratory neural crest cell
CL:0000127	RO:0002202	CL:0000339	astrocyte	develops from	glioblast (sensu Vertebrata)
CL:0000127	RO:0002202	CL:0000548	astrocyte	develops from	animal cell
CL:0000127	RO:0002202	CL:0002319	astrocyte	develops from	neural cell
CL:0000127	RO:0002202	CL:0002321	astrocyte	develops from	embryonic cell (metazoa)
CL:0000127	RO:0002202	CL:0002371	astrocyte	develops from	somatic cell
CL:0000127	RO:0002202	CL:0007004	astrocyte	develops from	premigratory neural crest cell
CL:0000127	RO:0002202	CL:0011012	astrocyte	develops from	neural crest cell
CL:0000127	RO:0002202	CL:0011026	astrocyte	develops from	progenitor cell
CL:0000127	RO:0002202	CL:0011115	astrocyte	develops from	precursor cell
CL:0000127	RO:0002254	BFO:0000002	astrocyte	has developmental contribution from	continuant
CL:0000127	RO:0002254	BFO:0000004	astrocyte	has developmental contribution from	independent continuant
CL:0000127	RO:0002254	BFO:0000040	astrocyte	has developmental contribution from	material entity
CL:0000127	RO:0002254	CARO:0000000	astrocyte	has developmental contribution from	anatomical entity
CL:0000127	RO:0002254	CARO:0030000	astrocyte	has developmental contribution from	biological entity
CL:0000127	RO:0002254	CL:0000000	astrocyte	has developmental contribution from	cell
CL:0000127	RO:0002254	CL:0000003	astrocyte	has developmental contribution from	native cell
CL:0000127	RO:0002254	CL:0000030	astrocyte	has developmental contribution from	glioblast
CL:0000127	RO:0002254	CL:0000034	astrocyte	has developmental contribution from	stem cell
CL:0000127	RO:0002254	CL:0000048	astrocyte	has developmental contribution from	multi fate stem cell
CL:0000127	RO:0002254	CL:0000055	astrocyte	has developmental contribution from	non-terminally differentiated cell
CL:0000127	RO:0002254	CL:0000095	astrocyte	has developmental contribution from	neuron associated cell
CL:0000127	RO:0002254	CL:0000123	astrocyte	has developmental contribution from	neuron associated cell (sensu Vertebrata)
CL:0000127	RO:0002254	CL:0000133	astrocyte	has developmental contribution from	neurectodermal cell
