# curie_map:
#   MAXO: http://purl.obolibrary.org/obo/MAXO_
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   OBI: http://purl.obolibrary.org/obo/OBI_
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/a44d9015-97b1-4f68-98ee-2e7080c2921b
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
MAXO:0000332	biopsy of anus	skos:closeMatch	NCIT:C51586	Biopsy of Anus	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of anus
MAXO:0000332	biopsy of anus	skos:closeMatch	NCIT:C51586	Biopsy of Anus	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of anus
MAXO:0000336	biopsy of bone marrow	skos:closeMatch	NCIT:C15193	Bone Marrow Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of bone marrow
MAXO:0000336	biopsy of bone marrow	skos:closeMatch	NCIT:C15193	Bone Marrow Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	bone marrow biopsy
MAXO:0000336	biopsy of bone marrow	skos:closeMatch	NCIT:C15193	Bone Marrow Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	bone marrow biopsy
MAXO:0000336	biopsy of bone marrow	skos:closeMatch	NCIT:C15193	Bone Marrow Biopsy	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	bone marrow biopsy
MAXO:0000338	biopsy of brain	skos:closeMatch	NCIT:C51766	Biopsy of Brain	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of brain
MAXO:0000338	biopsy of brain	skos:closeMatch	NCIT:C51766	Biopsy of Brain	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of brain
MAXO:0000338	biopsy of brain	skos:closeMatch	NCIT:C51766	Biopsy of Brain	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	brain biopsy
MAXO:0000340	biopsy of breast	skos:closeMatch	NCIT:C51698	Biopsy of Breast	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of breast
MAXO:0000340	biopsy of breast	skos:closeMatch	NCIT:C51698	Biopsy of Breast	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	breast biopsy
MAXO:0000340	biopsy of breast	skos:closeMatch	NCIT:C51698	Biopsy of Breast	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of breast
MAXO:0000341	biopsy of bronchus	skos:closeMatch	NCIT:C51782	Bronchial Biopsy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	biopsy of bronchus
MAXO:0000350	biopsy of colon	skos:closeMatch	NCIT:C51678	Biopsy of Colon	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	biopsy of colon
