	PS	MONDO_GROUP	MONDO_LEAF	GENE
0	OMIMPS:203655	MONDO:0000005	MONDO:0008757	<http://identifiers.org/hgnc/5172>
1	OMIMPS:231200	MONDO:0000009	MONDO:0007686	<http://identifiers.org/hgnc/31928>
2	OMIMPS:231200	MONDO:0000009	MONDO:0007930	<http://identifiers.org/hgnc/4439>
3	OMIMPS:231200	MONDO:0000009	MONDO:0008332	<http://identifiers.org/hgnc/4439>
4	OMIMPS:231200	MONDO:0000009	MONDO:0008553	<http://identifiers.org/hgnc/4238>
5	OMIMPS:231200	MONDO:0000009	MONDO:0009885	<http://identifiers.org/hgnc/25240>
6	OMIMPS:231200	MONDO:0000009	MONDO:0010122	<http://identifiers.org/hgnc/1366>
7	OMIMPS:231200	MONDO:0000009	MONDO:0011136	<http://identifiers.org/hgnc/9052>
8	OMIMPS:231200	MONDO:0000009	MONDO:0012031	<http://identifiers.org/hgnc/1663>
9	OMIMPS:231200	MONDO:0000009	MONDO:0013524	<http://identifiers.org/hgnc/11608>
10	OMIMPS:231200	MONDO:0000009	MONDO:0013597	<http://identifiers.org/hgnc/11609>
11	OMIMPS:231200	MONDO:0000009	MONDO:0013622	<http://identifiers.org/hgnc/6137>
12	OMIMPS:231200	MONDO:0000009	MONDO:0013623	<http://identifiers.org/hgnc/14388>
13	OMIMPS:231200	MONDO:0000009	MONDO:0014078	<http://identifiers.org/hgnc/163>
14	OMIMPS:231200	MONDO:0000009	MONDO:0014386	<http://identifiers.org/hgnc/9879>
15	OMIMPS:231200	MONDO:0000009	MONDO:0014518	<http://identifiers.org/hgnc/9382>
16	OMIMPS:231200	MONDO:0000009	MONDO:0014830	<http://identifiers.org/hgnc/32689>
17	OMIMPS:231200	MONDO:0000009	MONDO:0015912	<http://identifiers.org/hgnc/7579>
18	OMIMPS:615438	MONDO:0000023	MONDO:0013111	<http://identifiers.org/hgnc/25481>
19	OMIMPS:615438	MONDO:0000023	MONDO:0014659	<http://identifiers.org/hgnc/15625>
20	OMIMPS:615438	MONDO:0000023	MONDO:0024568	<http://identifiers.org/hgnc/6512>
21	OMIMPS:600513	MONDO:0000030	MONDO:0010899	<http://identifiers.org/hgnc/1958>
22	OMIMPS:600513	MONDO:0000030	MONDO:0011545	<http://identifiers.org/hgnc/1962>
23	OMIMPS:600513	MONDO:0000030	MONDO:0012474	<http://identifiers.org/hgnc/1956>
24	OMIMPS:600513	MONDO:0000030	MONDO:0014002	<http://identifiers.org/hgnc/18865>
25	OMIMPS:121210	MONDO:0000032	MONDO:0011443	<http://identifiers.org/hgnc/17416>
26	OMIMPS:121210	MONDO:0000032	MONDO:0011461	<http://identifiers.org/hgnc/10585>
27	OMIMPS:121210	MONDO:0000032	MONDO:0011891	<http://identifiers.org/hgnc/4087>
28	OMIMPS:121210	MONDO:0000032	MONDO:0013741	<http://identifiers.org/hgnc/17245>
29	OMIMPS:121210	MONDO:0000032	MONDO:0024566	<http://identifiers.org/hgnc/17245>
30	OMIMPS:193100	MONDO:0000044	MONDO:0008660	<http://identifiers.org/hgnc/3680>
31	OMIMPS:193100	MONDO:0000044	MONDO:0009430	<http://identifiers.org/hgnc/2932>
32	OMIMPS:193100	MONDO:0000044	MONDO:0009431	<http://identifiers.org/hgnc/20305>
33	OMIMPS:193100	MONDO:0000044	MONDO:0010358	<http://identifiers.org/hgnc/2023>
34	OMIMPS:193100	MONDO:0000044	MONDO:0010619	<http://identifiers.org/hgnc/8918>
35	OMIMPS:193100	MONDO:0000044	MONDO:0013219	<http://identifiers.org/hgnc/3356>
36	OMIMPS:275200	MONDO:0000045	MONDO:0009154	<http://identifiers.org/hgnc/2488>
37	OMIMPS:275200	MONDO:0000045	MONDO:0010139	<http://identifiers.org/hgnc/12372>
38	OMIMPS:275200	MONDO:0000045	MONDO:0010142	<http://identifiers.org/hgnc/12373>
39	OMIMPS:275200	MONDO:0000045	MONDO:0013757	<http://identifiers.org/hgnc/11796>
40	OMIMPS:262400	MONDO:0000050	MONDO:0008250	<http://identifiers.org/hgnc/4261>
41	OMIMPS:262400	MONDO:0000050	MONDO:0009876	<http://identifiers.org/hgnc/4261>
42	OMIMPS:262400	MONDO:0000050	MONDO:0009879	<http://identifiers.org/hgnc/4261>
43	OMIMPS:262400	MONDO:0000050	MONDO:0010615	<http://identifiers.org/hgnc/1133>
44	OMIMPS:251600	MONDO:0000062	MONDO:0012409	<http://identifiers.org/hgnc/1975>
45	OMIMPS:251600	MONDO:0000062	MONDO:0012604	<http://identifiers.org/hgnc/18662>
46	OMIMPS:251600	MONDO:0000062	MONDO:0012605	<http://identifiers.org/hgnc/18121>
47	OMIMPS:251600	MONDO:0000062	MONDO:0012709	<http://identifiers.org/hgnc/10848>
48	OMIMPS:251600	MONDO:0000062	MONDO:0013130	<http://identifiers.org/hgnc/4221>
49	OMIMPS:251600	MONDO:0000062	MONDO:0013293	<http://identifiers.org/hgnc/39433>
50	OMIMPS:251600	MONDO:0000062	MONDO:0013377	<http://identifiers.org/hgnc/4218>
51	OMIMPS:251600	MONDO:0000062	MONDO:0013783	<http://identifiers.org/hgnc/47>
52	OMIMPS:251600	MONDO:0000062	MONDO:0014050	<http://identifiers.org/hgnc/409>
53	OMIMPS:251600	MONDO:0000062	MONDO:0014059	<http://identifiers.org/hgnc/29944>
54	OMIMPS:251600	MONDO:0000062	MONDO:0014426	<http://identifiers.org/hgnc/24529>
55	OMIMPS:251600	MONDO:0000062	MONDO:0014635	<http://identifiers.org/hgnc/9922>
56	OMIMPS:603933	MONDO:0000065	MONDO:0011386	<http://identifiers.org/hgnc/12680>
57	OMIMPS:603933	MONDO:0000065	MONDO:0012962	<http://identifiers.org/hgnc/3415>
58	OMIMPS:603933	MONDO:0000065	MONDO:0012963	<http://identifiers.org/hgnc/2707>
59	OMIMPS:603933	MONDO:0000065	MONDO:0012966	<http://identifiers.org/hgnc/6000>
60	OMIMPS:603933	MONDO:0000065	MONDO:0012969	<http://identifiers.org/hgnc/9204>
61	OMIMPS:603933	MONDO:0000065	MONDO:0012970	<http://identifiers.org/hgnc/11180>
62	OMIMPS:603933	MONDO:0000065	MONDO:0012971	<http://identifiers.org/hgnc/4886>
63	OMIMPS:612286	MONDO:0000079	MONDO:0012850	<http://identifiers.org/hgnc/11019>
64	OMIMPS:612286	MONDO:0000079	MONDO:0012851	<http://identifiers.org/hgnc/11075>
65	OMIMPS:157640	MONDO:0000090	MONDO:0009783	<http://identifiers.org/hgnc/9179>
66	OMIMPS:157640	MONDO:0000090	MONDO:0012238	<http://identifiers.org/hgnc/10990>
67	OMIMPS:157640	MONDO:0000090	MONDO:0012241	<http://identifiers.org/hgnc/1160>
68	OMIMPS:157640	MONDO:0000090	MONDO:0012415	<http://identifiers.org/hgnc/9180>
69	OMIMPS:157640	MONDO:0000090	MONDO:0013117	<http://identifiers.org/hgnc/17296>
70	OMIMPS:157640	MONDO:0000090	MONDO:0014062	<http://identifiers.org/hgnc/2939>
71	OMIMPS:157640	MONDO:0000090	MONDO:0014656	<http://identifiers.org/hgnc/18466>
72	OMIMPS:157640	MONDO:0000090	MONDO:0014898	<http://identifiers.org/hgnc/11831>
73	OMIMPS:157640	MONDO:0000090	MONDO:0014899	<http://identifiers.org/hgnc/2858>
74	OMIMPS:157640	MONDO:0000090	MONDO:0024528	<http://identifiers.org/hgnc/9179>
75	OMIMPS:206100	MONDO:0000104	MONDO:0008787	<http://identifiers.org/hgnc/10908>
76	OMIMPS:206100	MONDO:0000104	MONDO:0014094	<http://identifiers.org/hgnc/24592>
77	OMIMPS:602483	MONDO:0000107	MONDO:0011234	<http://identifiers.org/hgnc/4387>
78	OMIMPS:602483	MONDO:0000107	MONDO:0013013	<http://identifiers.org/hgnc/3176>
79	OMIMPS:602483	MONDO:0000107	MONDO:0013845	<http://identifiers.org/hgnc/9059>
80	OMIMPS:602483	MONDO:0000107	MONDO:0014312	<http://identifiers.org/hgnc/3176>
81	OMIMPS:179850	MONDO:0000118	MONDO:0007483	<http://identifiers.org/hgnc/225>
82	OMIMPS:179850	MONDO:0000118	MONDO:0014130	<http://identifiers.org/hgnc/14988>
83	OMIMPS:179850	MONDO:0000118	MONDO:0014234	<http://identifiers.org/hgnc/188>
84	OMIMPS:179850	MONDO:0000118	MONDO:0014307	<http://identifiers.org/hgnc/22954>
85	OMIMPS:179850	MONDO:0000118	MONDO:0024534	<http://identifiers.org/hgnc/6442>
86	OMIMPS:231050	MONDO:0000127	MONDO:0009269	<http://identifiers.org/hgnc/14631>
87	OMIMPS:231050	MONDO:0000127	MONDO:0013612	<http://identifiers.org/hgnc/3603>
88	OMIMPS:256850	MONDO:0000128	MONDO:0009749	<http://identifiers.org/hgnc/4137>
89	OMIMPS:256850	MONDO:0000128	MONDO:0012411	<http://identifiers.org/hgnc/24891>
90	OMIMPS:242860	MONDO:0000133	MONDO:0009454	<http://identifiers.org/hgnc/2979>
91	OMIMPS:242860	MONDO:0000133	MONDO:0013553	<http://identifiers.org/hgnc/21143>
92	OMIMPS:242860	MONDO:0000133	MONDO:0014828	<http://identifiers.org/hgnc/14628>
93	OMIMPS:242860	MONDO:0000133	MONDO:0014829	<http://identifiers.org/hgnc/4861>
94	OMIMPS:604004	MONDO:0000137	MONDO:0013490	<http://identifiers.org/hgnc/26361>
95	OMIMPS:604004	MONDO:0000137	MONDO:0013491	<http://identifiers.org/hgnc/26361>
96	OMIMPS:257300	MONDO:0000141	MONDO:0009759	<http://identifiers.org/hgnc/1149>
97	OMIMPS:257300	MONDO:0000141	MONDO:0013582	<http://identifiers.org/hgnc/30794>
