subject	predicate	object	primary_knowledge_source	aggregator_knowledge_source	original_object	original_subject	subject_label	object_label
HGNC:1952	biolink:gene_associated_with_condition	MONDO:0007032	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:100100	NCBIGene:1131		
HGNC:29216	biolink:gene_associated_with_condition	MONDO:0024506	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:100300	NCBIGene:57514		
HGNC:3690	biolink:gene_associated_with_condition	MONDO:0007037	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:100800	NCBIGene:2261		
HGNC:7773	biolink:gene_associated_with_condition	MONDO:0007039	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:101000	NCBIGene:4771		
HGNC:3689	biolink:gene_associated_with_condition	MONDO:0007041	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:101200	NCBIGene:2263		
HGNC:3689	biolink:gene_associated_with_condition	MONDO:0007042	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:101400	NCBIGene:2263		
HGNC:12428	biolink:gene_associated_with_condition	MONDO:0007042	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:101400	NCBIGene:7291		
HGNC:3688	biolink:gene_associated_with_condition	MONDO:0007043	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:101600	NCBIGene:2260		
HGNC:3689	biolink:gene_associated_with_condition	MONDO:0007043	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:101600	NCBIGene:2263		
HGNC:9388	biolink:gene_associated_with_condition	MONDO:0007044	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:101800	NCBIGene:5573		
HGNC:812	biolink:gene_associated_with_condition	MONDO:0007048	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:101900	NCBIGene:488		
HGNC:358	biolink:gene_associated_with_condition	MONDO:0020479	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:102200	NCBIGene:9049		
HGNC:3603	biolink:gene_associated_with_condition	MONDO:0007055	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:102370	NCBIGene:2200		
HGNC:7882	biolink:gene_associated_with_condition	MONDO:0007057	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:102500	NCBIGene:4853		
HGNC:186	biolink:gene_associated_with_condition	MONDO:0007064	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:102700	NCBIGene:100		
HGNC:9020	biolink:gene_associated_with_condition	MONDO:0007067	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:102900	NCBIGene:5313		
HGNC:291	biolink:gene_associated_with_condition	MONDO:0007068	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:103050	NCBIGene:158		
HGNC:15979	biolink:gene_associated_with_condition	MONDO:0007072	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:103285	NCBIGene:8626		
HGNC:7105	biolink:gene_associated_with_condition	MONDO:0007077	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:103500	NCBIGene:4286		
HGNC:4392	biolink:gene_associated_with_condition	MONDO:0007078	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:103580	NCBIGene:2778		
HGNC:2591	biolink:gene_associated_with_condition	MONDO:0007080	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:103900	NCBIGene:1584		
HGNC:4274	biolink:gene_associated_with_condition	MONDO:0007083	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:104100	NCBIGene:2697		
HGNC:2204	biolink:gene_associated_with_condition	MONDO:0007086	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:104200	NCBIGene:1285		
HGNC:800	biolink:gene_associated_with_condition	MONDO:0007087	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:104290	NCBIGene:477		
HGNC:620	biolink:gene_associated_with_condition	MONDO:0007088	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:104300	NCBIGene:351		
HGNC:613	biolink:gene_associated_with_condition	MONDO:0007089	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:104310	NCBIGene:348		
HGNC:3344	biolink:gene_associated_with_condition	MONDO:0007092	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:104500	NCBIGene:10117		
HGNC:2916	biolink:gene_associated_with_condition	MONDO:0007093	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:104510	NCBIGene:1747		
HGNC:6490	biolink:gene_associated_with_condition	MONDO:0007094	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:104530	NCBIGene:3914		
HGNC:4620	biolink:gene_associated_with_condition	MONDO:0007097	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105120	NCBIGene:2934		
HGNC:2475	biolink:gene_associated_with_condition	MONDO:0007098	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105150	NCBIGene:1471		
HGNC:3661	biolink:gene_associated_with_condition	MONDO:0007099	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105200	NCBIGene:2243		
HGNC:600	biolink:gene_associated_with_condition	MONDO:0007099	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105200	NCBIGene:335		
HGNC:6740	biolink:gene_associated_with_condition	MONDO:0007099	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105200	NCBIGene:4069		
HGNC:12405	biolink:gene_associated_with_condition	MONDO:0007100	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105210	NCBIGene:7276		
HGNC:8507	biolink:gene_associated_with_condition	MONDO:0024522	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105250	NCBIGene:9180		
HGNC:11179	biolink:gene_associated_with_condition	MONDO:0007103	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105400	NCBIGene:6647		
HGNC:28337	biolink:gene_associated_with_condition	MONDO:0007105	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105550	NCBIGene:203228		
HGNC:6392	biolink:gene_associated_with_condition	MONDO:0007109	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105600	NCBIGene:9493		
HGNC:10402	biolink:gene_associated_with_condition	MONDO:0007110	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105650	NCBIGene:6223		
HGNC:11164	biolink:gene_associated_with_condition	MONDO:0007113	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105830	NCBIGene:6638		
HGNC:12496	biolink:gene_associated_with_condition	MONDO:0007113	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:105830	NCBIGene:7337		
HGNC:1228	biolink:gene_associated_with_condition	MONDO:0033946	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:106100	NCBIGene:710		
HGNC:1228	biolink:gene_associated_with_condition	MONDO:0033946	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:106100	NCBIGene:710		
HGNC:8620	biolink:gene_associated_with_condition	MONDO:0024507	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:106210	NCBIGene:5080		
HGNC:12796	biolink:gene_associated_with_condition	MONDO:0024507	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:106210	NCBIGene:7490		
HGNC:15979	biolink:gene_associated_with_condition	MONDO:0007124	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:106260	NCBIGene:8626		
HGNC:7391	biolink:gene_associated_with_condition	MONDO:0007129	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:106600	NCBIGene:4487		
HGNC:9006	biolink:gene_associated_with_condition	MONDO:0007138	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:107250	NCBIGene:5309		
HGNC:10524	biolink:gene_associated_with_condition	MONDO:0054581	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:107480	NCBIGene:6299		
HGNC:11769	biolink:gene_associated_with_condition	MONDO:0018084	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:107970	NCBIGene:7043		
HGNC:6407	biolink:gene_associated_with_condition	MONDO:0007154	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108010	NCBIGene:3845		
HGNC:12011	biolink:gene_associated_with_condition	MONDO:0007157	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108120	NCBIGene:7169		
HGNC:26270	biolink:gene_associated_with_condition	MONDO:0007158	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108145	NCBIGene:63895		
HGNC:2200	biolink:gene_associated_with_condition	MONDO:0007160	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108300	NCBIGene:1280		
HGNC:7327	biolink:gene_associated_with_condition	MONDO:0007161	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108420	NCBIGene:4438		
HGNC:1388	biolink:gene_associated_with_condition	MONDO:0007163	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108500	NCBIGene:773		
HGNC:12642	biolink:gene_associated_with_condition	MONDO:0007164	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108600	NCBIGene:6843		
HGNC:3755	biolink:gene_associated_with_condition	MONDO:0007167	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108720	NCBIGene:2317		
HGNC:3755	biolink:gene_associated_with_condition	MONDO:0007168	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108721	NCBIGene:2317		
HGNC:4279	biolink:gene_associated_with_condition	MONDO:0007171	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108770	NCBIGene:2702		
HGNC:2488	biolink:gene_associated_with_condition	MONDO:0007173	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108900	NCBIGene:1482		
HGNC:11714	biolink:gene_associated_with_condition	MONDO:0007176	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:108985	NCBIGene:7003		
HGNC:7106	biolink:gene_associated_with_condition	MONDO:0007182	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:109150	NCBIGene:4287		
HGNC:9585	biolink:gene_associated_with_condition	MONDO:0007187	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:109400	NCBIGene:5727		
HGNC:7881	biolink:gene_associated_with_condition	MONDO:0024523	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:109730	NCBIGene:4851		
HGNC:3690	biolink:gene_associated_with_condition	MONDO:0001187	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:109800	NCBIGene:2261		
HGNC:5173	biolink:gene_associated_with_condition	MONDO:0001187	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:109800	NCBIGene:3265		
HGNC:6407	biolink:gene_associated_with_condition	MONDO:0001187	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:109800	NCBIGene:3845		
HGNC:9884	biolink:gene_associated_with_condition	MONDO:0001187	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:109800	NCBIGene:5925		
HGNC:1092	biolink:gene_associated_with_condition	MONDO:0035525	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:110100	NCBIGene:668		
HGNC:4204	biolink:gene_associated_with_condition	MONDO:0044220	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:110800	NCBIGene:2651		
HGNC:6345	biolink:gene_associated_with_condition	MONDO:0044221	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:111150	NCBIGene:10661		
HGNC:18149	biolink:gene_associated_with_condition	MONDO:0044222	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:111400	NCBIGene:53947		
HGNC:8548	biolink:gene_associated_with_condition	MONDO:0007204	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:112240	NCBIGene:5034		
HGNC:7413	biolink:gene_associated_with_condition	MONDO:0007205	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:112250	NCBIGene:4507		
HGNC:3755	biolink:gene_associated_with_condition	MONDO:0007208	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:112310	NCBIGene:2317		
HGNC:8778	biolink:gene_associated_with_condition	MONDO:0007211	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:112410	NCBIGene:5139		
HGNC:5956	biolink:gene_associated_with_condition	MONDO:0020701	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:112500	NCBIGene:3549		
HGNC:1069	biolink:gene_associated_with_condition	MONDO:0007216	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:112600	NCBIGene:650		
HGNC:1077	biolink:gene_associated_with_condition	MONDO:0007216	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:112600	NCBIGene:658		
HGNC:4220	biolink:gene_associated_with_condition	MONDO:0007216	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:112600	NCBIGene:8200		
HGNC:10257	biolink:gene_associated_with_condition	MONDO:0007220	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113000	NCBIGene:4920		
HGNC:4220	biolink:gene_associated_with_condition	MONDO:0007221	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113100	NCBIGene:8200		
HGNC:5136	biolink:gene_associated_with_condition	MONDO:0007222	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113200	NCBIGene:3239		
HGNC:5136	biolink:gene_associated_with_condition	MONDO:0007223	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113300	NCBIGene:3239		
HGNC:18083	biolink:gene_associated_with_condition	MONDO:0007232	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113500	NCBIGene:59341		
HGNC:11742	biolink:gene_associated_with_condition	MONDO:0007235	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113620	NCBIGene:7020		
HGNC:3519	biolink:gene_associated_with_condition	MONDO:0007236	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113650	NCBIGene:2138		
HGNC:10887	biolink:gene_associated_with_condition	MONDO:0007236	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113650	NCBIGene:6495		
HGNC:20611	biolink:gene_associated_with_condition	MONDO:0018264	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113750	NCBIGene:283652		
HGNC:6412	biolink:gene_associated_with_condition	MONDO:0007239	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113800	NCBIGene:3848		
HGNC:6413	biolink:gene_associated_with_condition	MONDO:0007239	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113800	NCBIGene:3858		
HGNC:10593	biolink:gene_associated_with_condition	MONDO:0007240	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113900	NCBIGene:6331		
HGNC:7553	biolink:gene_associated_with_condition	MONDO:0007243	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:113970	NCBIGene:4609		
HGNC:2197	biolink:gene_associated_with_condition	MONDO:0007244	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114000	NCBIGene:1277		
HGNC:11204	biolink:gene_associated_with_condition	MONDO:0007251	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114290	NCBIGene:6662		
HGNC:26270	biolink:gene_associated_with_condition	MONDO:0007252	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114300	NCBIGene:63895		
HGNC:391	biolink:gene_associated_with_condition	MONDO:0016419	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114480	NCBIGene:207		
HGNC:3467	biolink:gene_associated_with_condition	MONDO:0016419	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114480	NCBIGene:2099		
HGNC:6407	biolink:gene_associated_with_condition	MONDO:0016419	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114480	NCBIGene:3845		
HGNC:10964	biolink:gene_associated_with_condition	MONDO:0016419	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114480	NCBIGene:5002		
