publications	subject	new_object	is_creation	closure_predicates	closure_delta	new_object_label
	SGD:S000004158	GO:1990050	True	rdfs:subClassOf|BFO:0000050	6	phosphatidic acid transfer activity
	SGD:S000002516	GO:0005737	True	rdfs:subClassOf|BFO:0000050	11	cytoplasm
	SGD:S000003423	GO:0015171	True	rdfs:subClassOf|BFO:0000050	0	amino acid transmembrane transporter activity
	SGD:S000003423	GO:0003333	True	rdfs:subClassOf|BFO:0000050	0	amino acid transmembrane transport
	SGD:S000000778	GO:0005737	True	rdfs:subClassOf|BFO:0000050	0	cytoplasm
	SGD:S000004415	GO:0030242	True	rdfs:subClassOf|BFO:0000050	0	autophagy of peroxisome
	SGD:S000001886	GO:0003677	True	rdfs:subClassOf|BFO:0000050	0	DNA binding
	SGD:S000000854	GO:0005829	True	rdfs:subClassOf|BFO:0000050	1	cytosol
	SGD:S000001039	GO:0005774	True	rdfs:subClassOf|BFO:0000050	1	vacuolar membrane
	SGD:S000001039	GO:0005886	True	rdfs:subClassOf|BFO:0000050	2	plasma membrane
	SGD:S000001505	GO:0005737	True	rdfs:subClassOf|BFO:0000050	0	cytoplasm
	SGD:S000001505	GO:0045842	True	rdfs:subClassOf|BFO:0000050	31	positive regulation of mitotic metaphase/anaphase transition
	SGD:S000004624	GO:0000209	True	rdfs:subClassOf|BFO:0000050	1	protein polyubiquitination
	SGD:S000004624	GO:0006511	True	rdfs:subClassOf|BFO:0000050	3	ubiquitin-dependent protein catabolic process
	SGD:S000004103	GO:0034599	True	rdfs:subClassOf|BFO:0000050	2	cellular response to oxidative stress
	SGD:S000006290	GO:0016251	True	rdfs:subClassOf|BFO:0000050	2	RNA polymerase II general transcription initiation factor activity
	SGD:S000005689	GO:1901909	True	rdfs:subClassOf|BFO:0000050	2	diadenosine hexaphosphate catabolic process
	SGD:S000005689	GO:0071543	True	rdfs:subClassOf|BFO:0000050	5	diphosphoinositol polyphosphate metabolic process
	SGD:S000005689	GO:1901911	True	rdfs:subClassOf|BFO:0000050	13	adenosine 5'-(hexahydrogen pentaphosphate) catabolic process
	SGD:S000005689	GO:1901907	True	rdfs:subClassOf|BFO:0000050	2	diadenosine pentaphosphate catabolic process
	SGD:S000004969	GO:0008276	True	rdfs:subClassOf|BFO:0000050	0	protein methyltransferase activity
	SGD:S000005622	GO:0042274	True	rdfs:subClassOf|BFO:0000050	1	ribosomal small subunit biogenesis
	SGD:S000004639	GO:0010971	True	rdfs:subClassOf|BFO:0000050	6	positive regulation of G2/M transition of mitotic cell cycle
	SGD:S000004639	GO:0110032	True	rdfs:subClassOf|BFO:0000050	8	positive regulation of G2/MI transition of meiotic cell cycle
	SGD:S000001855	GO:0015629	True	rdfs:subClassOf|BFO:0000050	0	actin cytoskeleton
	SGD:S000002305	GO:0000147	True	rdfs:subClassOf|BFO:0000050	12	actin cortical patch assembly
	SGD:S000002305	GO:0071933	True	rdfs:subClassOf|BFO:0000050	3	Arp2/3 complex binding
	SGD:S000002305	GO:0051666	True	rdfs:subClassOf|BFO:0000050	2	actin cortical patch localization
	SGD:S000002525	GO:0070979	True	rdfs:subClassOf|BFO:0000050	2	protein K11-linked ubiquitination
	SGD:S000001535	GO:0044732	True	rdfs:subClassOf|BFO:0000050	3	mitotic spindle pole body
	SGD:S000001089	GO:0043171	True	rdfs:subClassOf|BFO:0000050	4	peptide catabolic process
	SGD:S000001089	GO:0005615	True	rdfs:subClassOf|BFO:0000050	2	extracellular space
	SGD:S000001089	GO:0016020	True	rdfs:subClassOf|BFO:0000050	1	membrane
	SGD:S000001089	GO:0070006	True	rdfs:subClassOf|BFO:0000050	2	metalloaminopeptidase activity
	SGD:S000001089	GO:0042277	True	rdfs:subClassOf|BFO:0000050	1	peptide binding
	SGD:S000004014	GO:0000151	True	rdfs:subClassOf|BFO:0000050	1	ubiquitin ligase complex
	SGD:S000001032	GO:0006879	True	rdfs:subClassOf|BFO:0000050	0	intracellular iron ion homeostasis
	SGD:S000001032	GO:0005774	True	rdfs:subClassOf|BFO:0000050	1	vacuolar membrane
	SGD:S000001032	GO:0055085	True	rdfs:subClassOf|BFO:0000050	0	transmembrane transport
	SGD:S000002100	GO:0016887	True	rdfs:subClassOf|BFO:0000050	7	ATP hydrolysis activity
	SGD:S000000976	GO:0005829	True	rdfs:subClassOf|BFO:0000050	2	cytosol
	SGD:S000003012	GO:0005847	True	rdfs:subClassOf|BFO:0000050	1	mRNA cleavage and polyadenylation specificity factor complex
	SGD:S000000058	GO:0005829	True	rdfs:subClassOf|BFO:0000050	1	cytosol
	SGD:S000006241	GO:0050660	True	rdfs:subClassOf|BFO:0000050	9	flavin adenine dinucleotide binding
	SGD:S000004667	GO:0032153	True	rdfs:subClassOf|BFO:0000050	1	cell division site
	SGD:S000004667	GO:0035838	True	rdfs:subClassOf|BFO:0000050	4	growing cell tip
	SGD:S000003759	GO:0005199	True	rdfs:subClassOf|BFO:0000050	2	structural constituent of cell wall
	SGD:S000003759	GO:0031505	True	rdfs:subClassOf|BFO:0000050	8	fungal-type cell wall organization
	SGD:S000003759	GO:0009277	True	rdfs:subClassOf|BFO:0000050	4	fungal-type cell wall
	SGD:S000005707	GO:0031267	True	rdfs:subClassOf|BFO:0000050	3	small GTPase binding
	SGD:S000005707	GO:0030833	True	rdfs:subClassOf|BFO:0000050	8	regulation of actin filament polymerization
	SGD:S000006014	GO:0003924	True	rdfs:subClassOf|BFO:0000050	7	GTPase activity
	SGD:S000006014	GO:0003723	True	rdfs:subClassOf|BFO:0000050	2	RNA binding
	SGD:S000005564	GO:0000785	True	rdfs:subClassOf|BFO:0000050	1	chromatin
	SGD:S000004087	GO:0005737	True	rdfs:subClassOf|BFO:0000050	11	cytoplasm
	SGD:S000001716	GO:0003682	True	rdfs:subClassOf|BFO:0000050	1	chromatin binding
	SGD:S000000202	GO:0019905	True	rdfs:subClassOf|BFO:0000050	4	syntaxin binding
	SGD:S000000202	GO:0005737	True	rdfs:subClassOf|BFO:0000050	2	cytoplasm
	SGD:S000000202	GO:0045159	True	rdfs:subClassOf|BFO:0000050	5	myosin II binding
	SGD:S000000202	GO:0005096	True	rdfs:subClassOf|BFO:0000050	7	GTPase activator activity
	SGD:S000001341	GO:0003723	True	rdfs:subClassOf|BFO:0000050	1	RNA binding
	SGD:S000001388	GO:0003682	True	rdfs:subClassOf|BFO:0000050	1	chromatin binding
	SGD:S000001388	GO:0045944	True	rdfs:subClassOf|BFO:0000050	25	positive regulation of transcription by RNA polymerase II
	SGD:S000001388	GO:0031507	True	rdfs:subClassOf|BFO:0000050	18	heterochromatin formation
	SGD:S000001388	GO:0140750	True	rdfs:subClassOf|BFO:0000050	2	nucleosome array spacer activity
	SGD:S000001388	GO:0000785	True	rdfs:subClassOf|BFO:0000050	0	chromatin
	SGD:S000001388	GO:0003677	True	rdfs:subClassOf|BFO:0000050	2	DNA binding
	SGD:S000001084	GO:0005829	True	rdfs:subClassOf|BFO:0000050	1	cytosol
	SGD:S000000844	GO:0036456	True	rdfs:subClassOf|BFO:0000050	1	L-methionine-(S)-S-oxide reductase activity
	SGD:S000004954	GO:0006739	True	rdfs:subClassOf|BFO:0000050	13	NADP metabolic process
	SGD:S000003298	GO:0007039	True	rdfs:subClassOf|BFO:0000050	1	protein catabolic process in the vacuole
	SGD:S000003298	GO:0045721	True	rdfs:subClassOf|BFO:0000050	18	negative regulation of gluconeogenesis
	SGD:S000003298	GO:0043161	True	rdfs:subClassOf|BFO:0000050	7	proteasome-mediated ubiquitin-dependent protein catabolic process
	SGD:S000003298	GO:0006623	True	rdfs:subClassOf|BFO:0000050	20	protein targeting to vacuole
	SGD:S000003860	GO:0030163	True	rdfs:subClassOf|BFO:0000050	0	protein catabolic process
	SGD:S000001739	GO:0009395	True	rdfs:subClassOf|BFO:0000050	2	phospholipid catabolic process
	SGD:S000000405	GO:0030968	True	rdfs:subClassOf|BFO:0000050	12	endoplasmic reticulum unfolded protein response
	SGD:S000000405	GO:0005047	True	rdfs:subClassOf|BFO:0000050	3	signal recognition particle binding
	SGD:S000000288	GO:0005829	True	rdfs:subClassOf|BFO:0000050	1	cytosol
	SGD:S000003978	GO:0016020	True	rdfs:subClassOf|BFO:0000050	0	membrane
	SGD:S000003317	GO:0003723	True	rdfs:subClassOf|BFO:0000050	0	RNA binding
	SGD:S000005627	GO:0019003	True	rdfs:subClassOf|BFO:0000050	1	GDP binding
	SGD:S000000750	GO:0016491	True	rdfs:subClassOf|BFO:0000050	0	oxidoreductase activity
	SGD:S000004662	GO:0010106	True	rdfs:subClassOf|BFO:0000050	8	cellular response to iron ion starvation
	SGD:S000000626	GO:0032153	True	rdfs:subClassOf|BFO:0000050	0	cell division site
	SGD:S000000626	GO:0005737	True	rdfs:subClassOf|BFO:0000050	0	cytoplasm
	SGD:S000000626	GO:0030139	True	rdfs:subClassOf|BFO:0000050	6	endocytic vesicle
	SGD:S000000626	GO:0005886	True	rdfs:subClassOf|BFO:0000050	1	plasma membrane
	SGD:S000005918	GO:0019243	True	rdfs:subClassOf|BFO:0000050	1	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
	SGD:S000003335	GO:0003723	True	rdfs:subClassOf|BFO:0000050	0	RNA binding
	SGD:S000003652	GO:0009277	True	rdfs:subClassOf|BFO:0000050	4	fungal-type cell wall
	SGD:S000003652	GO:0031505	True	rdfs:subClassOf|BFO:0000050	7	fungal-type cell wall organization
	SGD:S000003652	GO:0009986	True	rdfs:subClassOf|BFO:0000050	1	cell surface
	SGD:S000006324	GO:0007089	True	rdfs:subClassOf|BFO:0000050	11	traversing start control point of mitotic cell cycle
	SGD:S000006324	GO:0005737	True	rdfs:subClassOf|BFO:0000050	1	cytoplasm
	SGD:S000006324	GO:0000307	True	rdfs:subClassOf|BFO:0000050	7	cyclin-dependent protein kinase holoenzyme complex
	SGD:S000006324	GO:0005815	True	rdfs:subClassOf|BFO:0000050	5	microtubule organizing center
	SGD:S000005609	GO:0003712	True	rdfs:subClassOf|BFO:0000050	0	transcription coregulator activity
	SGD:S000004745	GO:0035312	True	rdfs:subClassOf|BFO:0000050	7	5'-3' DNA exonuclease activity
	SGD:S000004745	GO:0006303	True	rdfs:subClassOf|BFO:0000050	2	double-strand break repair via nonhomologous end joining
	SGD:S000000335	GO:0043231	True	rdfs:subClassOf|BFO:0000050	0	intracellular membrane-bounded organelle
	SGD:S000005971	GO:0000032	True	rdfs:subClassOf|BFO:0000050	6	cell wall mannoprotein biosynthetic process
	SGD:S000005178	GO:0046210	True	rdfs:subClassOf|BFO:0000050	6	nitric oxide catabolic process
	SGD:S000005178	GO:0071949	True	rdfs:subClassOf|BFO:0000050	7	FAD binding
	SGD:S000005178	GO:0071500	True	rdfs:subClassOf|BFO:0000050	10	cellular response to nitrosative stress
	SGD:S000005178	GO:0008941	True	rdfs:subClassOf|BFO:0000050	6	nitric oxide dioxygenase NAD(P)H activity
	SGD:S000001272	GO:0005737	True	rdfs:subClassOf|BFO:0000050	1	cytoplasm
	SGD:S000000938	GO:0005829	True	rdfs:subClassOf|BFO:0000050	1	cytosol
	SGD:S000000545	GO:0051156	True	rdfs:subClassOf|BFO:0000050	0	glucose 6-phosphate metabolic process
	SGD:S000000545	GO:0008865	True	rdfs:subClassOf|BFO:0000050	1	fructokinase activity
	SGD:S000000545	GO:0005739	True	rdfs:subClassOf|BFO:0000050	5	mitochondrion
	SGD:S000005116	GO:0070979	True	rdfs:subClassOf|BFO:0000050	2	protein K11-linked ubiquitination
	SGD:S000000928	GO:0000460	True	rdfs:subClassOf|BFO:0000050	0	maturation of 5.8S rRNA
	SGD:S000000928	GO:0000470	True	rdfs:subClassOf|BFO:0000050	0	maturation of LSU-rRNA
	SGD:S000003793	GO:0016018	True	rdfs:subClassOf|BFO:0000050	2	cyclosporin A binding
	SGD:S000003793	GO:0005737	True	rdfs:subClassOf|BFO:0000050	0	cytoplasm
	SGD:S000005902	GO:0005829	True	rdfs:subClassOf|BFO:0000050	1	cytosol
	SGD:S000000782	GO:0070210	True	rdfs:subClassOf|BFO:0000050	9	Rpd3L-Expanded complex
	SGD:S000000782	GO:0006355	True	rdfs:subClassOf|BFO:0000050	5	regulation of DNA-templated transcription
	SGD:S000000782	GO:0033698	True	rdfs:subClassOf|BFO:0000050	10	Rpd3L complex
	SGD:S000000782	GO:0006338	True	rdfs:subClassOf|BFO:0000050	0	chromatin remodeling
	SGD:S000004795	GO:0012505	True	rdfs:subClassOf|BFO:0000050	0	endomembrane system
	SGD:S000004795	GO:0031201	True	rdfs:subClassOf|BFO:0000050	3	SNARE complex
	SGD:S000004795	GO:0006887	True	rdfs:subClassOf|BFO:0000050	4	exocytosis
	SGD:S000004795	GO:0000149	True	rdfs:subClassOf|BFO:0000050	2	SNARE binding
	SGD:S000004795	GO:0048278	True	rdfs:subClassOf|BFO:0000050	4	vesicle docking
	SGD:S000003260	GO:0140570	True	rdfs:subClassOf|BFO:0000050	5	extraction of mislocalized protein from mitochondrial outer membrane
	SGD:S000005409	GO:0043295	True	rdfs:subClassOf|BFO:0000050	5	glutathione binding
	SGD:S000005409	GO:0005829	True	rdfs:subClassOf|BFO:0000050	1	cytosol
	SGD:S000002307	GO:0030490	True	rdfs:subClassOf|BFO:0000050	0	maturation of SSU-rRNA
	SGD:S000003341	GO:0005737	True	rdfs:subClassOf|BFO:0000050	11	cytoplasm
	SGD:S000003341	GO:0000307	True	rdfs:subClassOf|BFO:0000050	7	cyclin-dependent protein kinase holoenzyme complex
	SGD:S000003341	GO:0005815	True	rdfs:subClassOf|BFO:0000050	17	microtubule organizing center
	SGD:S000003341	GO:0007089	True	rdfs:subClassOf|BFO:0000050	15	traversing start control point of mitotic cell cycle
	SGD:S000003341	GO:0005634	True	rdfs:subClassOf|BFO:0000050	15	nucleus
	SGD:S000005243	GO:0031123	True	rdfs:subClassOf|BFO:0000050	0	RNA 3'-end processing
	SGD:S000005243	GO:0043634	True	rdfs:subClassOf|BFO:0000050	3	polyadenylation-dependent ncRNA catabolic process
	SGD:S000001128	GO:0005829	True	rdfs:subClassOf|BFO:0000050	1	cytosol
	SGD:S000004369	GO:0005737	True	rdfs:subClassOf|BFO:0000050	0	cytoplasm
	SGD:S000004369	GO:0006002	True	rdfs:subClassOf|BFO:0000050	5	fructose 6-phosphate metabolic process
	SGD:S000004369	GO:0006000	True	rdfs:subClassOf|BFO:0000050	1	fructose metabolic process
	SGD:S000004369	GO:0030388	True	rdfs:subClassOf|BFO:0000050	5	fructose 1,6-bisphosphate metabolic process
	SGD:S000002487	GO:0005770	True	rdfs:subClassOf|BFO:0000050	1	late endosome
	SGD:S000002487	GO:0009267	True	rdfs:subClassOf|BFO:0000050	8	cellular response to starvation
	SGD:S000000691	GO:0016791	True	rdfs:subClassOf|BFO:0000050	5	phosphatase activity
	SGD:S000002338	GO:0005634	True	rdfs:subClassOf|BFO:0000050	6	nucleus
	SGD:S000002275	GO:0110085	True	rdfs:subClassOf|BFO:0000050	0	mitotic actomyosin contractile ring
	SGD:S000002275	GO:0140278	True	rdfs:subClassOf|BFO:0000050	0	mitotic division septum assembly
	SGD:S000000562	GO:0006518	True	rdfs:subClassOf|BFO:0000050	1	peptide metabolic process
	SGD:S000006229	GO:0006367	True	rdfs:subClassOf|BFO:0000050	2	transcription initiation at RNA polymerase II promoter
	SGD:S000002218	GO:0005525	True	rdfs:subClassOf|BFO:0000050	15	GTP binding
	SGD:S000002218	GO:0034511	True	rdfs:subClassOf|BFO:0000050	5	U3 snoRNA binding
	SGD:S000002218	GO:0003924	True	rdfs:subClassOf|BFO:0000050	7	GTPase activity
	SGD:S000002218	GO:0000479	True	rdfs:subClassOf|BFO:0000050	0	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
	SGD:S000000529	GO:0005737	True	rdfs:subClassOf|BFO:0000050	0	cytoplasm
	SGD:S000000529	GO:0000086	True	rdfs:subClassOf|BFO:0000050	4	G2/M transition of mitotic cell cycle
	SGD:S000000529	GO:0005634	True	rdfs:subClassOf|BFO:0000050	3	nucleus
	SGD:S000000529	GO:0007093	True	rdfs:subClassOf|BFO:0000050	0	mitotic cell cycle checkpoint signaling
	SGD:S000002491	GO:0009306	True	rdfs:subClassOf|BFO:0000050	13	protein secretion
	SGD:S000002576	GO:0000432	True	rdfs:subClassOf|BFO:0000050	12	positive regulation of transcription from RNA polymerase II promoter by glucose
	SGD:S000004843	GO:0003723	True	rdfs:subClassOf|BFO:0000050	4	RNA binding
	SGD:S000005527	GO:0003727	True	rdfs:subClassOf|BFO:0000050	1	single-stranded RNA binding
	SGD:S000002550	GO:0061630	True	rdfs:subClassOf|BFO:0000050	2	ubiquitin protein ligase activity
	SGD:S000005548	GO:0005737	True	rdfs:subClassOf|BFO:0000050	0	cytoplasm
	SGD:S000005796	GO:0051117	True	rdfs:subClassOf|BFO:0000050	3	ATPase binding
	SGD:S000005796	GO:0016471	True	rdfs:subClassOf|BFO:0000050	0	vacuolar proton-transporting V-type ATPase complex
	SGD:S000001424	GO:0004575	True	rdfs:subClassOf|BFO:0000050	3	sucrose alpha-glucosidase activity
	SGD:S000000227	GO:0071944	True	rdfs:subClassOf|BFO:0000050	0	cell periphery
	SGD:S000000227	GO:0030428	True	rdfs:subClassOf|BFO:0000050	1	cell septum
	SGD:S000003857	GO:0005829	True	rdfs:subClassOf|BFO:0000050	1	cytosol
	SGD:S000001385	GO:0009986	True	rdfs:subClassOf|BFO:0000050	1	cell surface
	SGD:S000005569	GO:0005634	True	rdfs:subClassOf|BFO:0000050	7	nucleus
	SGD:S000005569	GO:0003723	True	rdfs:subClassOf|BFO:0000050	3	RNA binding
	SGD:S000004405	GO:0051285	True	rdfs:subClassOf|BFO:0000050	6	cell cortex of cell tip
	SGD:S000004405	GO:0031505	True	rdfs:subClassOf|BFO:0000050	8	fungal-type cell wall organization
	SGD:S000000913	GO:0030907	True	rdfs:subClassOf|BFO:0000050	1	MBF transcription complex
	SGD:S000002207	GO:0031505	True	rdfs:subClassOf|BFO:0000050	2	fungal-type cell wall organization
	SGD:S000003894	GO:0032263	True	rdfs:subClassOf|BFO:0000050	3	GMP salvage
	SGD:S000003894	GO:0032264	True	rdfs:subClassOf|BFO:0000050	3	IMP salvage
	SGD:S000004810	GO:0048280	True	rdfs:subClassOf|BFO:0000050	3	vesicle fusion with Golgi apparatus
	SGD:S000004810	GO:0012507	True	rdfs:subClassOf|BFO:0000050	11	ER to Golgi transport vesicle membrane
	SGD:S000004810	GO:0005789	True	rdfs:subClassOf|BFO:0000050	5	endoplasmic reticulum membrane
	SGD:S000004810	GO:0042147	True	rdfs:subClassOf|BFO:0000050	3	retrograde transport, endosome to Golgi
	SGD:S000004810	GO:0031902	True	rdfs:subClassOf|BFO:0000050	9	late endosome membrane
	SGD:S000004810	GO:0000149	True	rdfs:subClassOf|BFO:0000050	3	SNARE binding
	SGD:S000004706	GO:0007163	True	rdfs:subClassOf|BFO:0000050	1	establishment or maintenance of cell polarity
	SGD:S000002560	GO:0006897	True	rdfs:subClassOf|BFO:0000050	2	endocytosis
	SGD:S000002560	GO:0007015	True	rdfs:subClassOf|BFO:0000050	8	actin filament organization
	SGD:S000002560	GO:0005543	True	rdfs:subClassOf|BFO:0000050	0	phospholipid binding
	SGD:S000002560	GO:0005886	True	rdfs:subClassOf|BFO:0000050	2	plasma membrane
	SGD:S000005806	GO:0005737	True	rdfs:subClassOf|BFO:0000050	0	cytoplasm
	SGD:S000005806	GO:0016787	True	rdfs:subClassOf|BFO:0000050	0	hydrolase activity
	SGD:S000005806	GO:0005634	True	rdfs:subClassOf|BFO:0000050	1	nucleus
	SGD:S000004921	GO:0042973	True	rdfs:subClassOf|BFO:0000050	2	glucan endo-1,3-beta-D-glucosidase activity
	SGD:S000004921	GO:0009986	True	rdfs:subClassOf|BFO:0000050	1	cell surface
	SGD:S000006246	GO:0000932	True	rdfs:subClassOf|BFO:0000050	8	P-body
	SGD:S000006246	GO:0035925	True	rdfs:subClassOf|BFO:0000050	2	mRNA 3'-UTR AU-rich region binding
	SGD:S000001531	GO:0005737	True	rdfs:subClassOf|BFO:0000050	0	cytoplasm
	SGD:S000001531	GO:0051726	True	rdfs:subClassOf|BFO:0000050	1	regulation of cell cycle
	SGD:S000000354	GO:0045944	True	rdfs:subClassOf|BFO:0000050	1	positive regulation of transcription by RNA polymerase II
	SGD:S000002894	GO:0005771	True	rdfs:subClassOf|BFO:0000050	2	multivesicular body
	SGD:S000002894	GO:0006900	True	rdfs:subClassOf|BFO:0000050	6	vesicle budding from membrane
	SGD:S000000993	GO:0042273	True	rdfs:subClassOf|BFO:0000050	0	ribosomal large subunit biogenesis
